影片 ID,影片標題,發布日期,時長,觀看次數,按讚數,留言數,"觀看時數
(小時)",曝光次數,"曝光點
閱率(%)","預估收益
(USD)"
i8IJYUWJjE0,Line Rangers隨手拍EP.91 || 低配版五人陣～沒有賭徒也沒有狂徒！ ||,2025-03-16,3:41,"11,596",92,26,293.6,"83,569",11.79%,$11.50
OYEdIemSMe8,Line Rangers 數據分析EP.36 || 後移寵之戰！雷姆菲茲如何選擇？ ||,2024-03-31,3:14,"11,574",123,51,371.8,"91,887",10.21%,$16.86
uOwowU9gYmI,Line Rangers放置戰爭-數據分析EP.1 || SS角色全解說！ ||,2024-11-22,4:36,"11,573",95,19,276.5,"86,907",10.49%,$16.18
xvUxzYG5m08,Line Rangers-觀眾投稿EP.78 || 安慰獎阿爾敏，數值幾乎跟愛蜜莉雅相同!? ||,2022-12-04,2:49,"11,548",90,15,289.3,"71,503",14.41%,$13.68
XLYm7nETDgI,Line Rangers-觀眾投稿EP.218 || 你沒看過的十人光熊陣 ||,2023-09-17,3:10,"11,464",135,19,292.3,"83,035",11.53%,$14.15
fCbBOVpiDpM,(有字幕)Line Rangers-觀眾投稿EP.471 || 石神千空－火系雷姆強勢登場！ ||,2025-03-31,4:03,"11,434",114,29,375.7,"67,718",14.33%,$10.23
R4CC7S65P_U,LINE Rangers || 2025新年裝備－裝備分析+抽裝攻略 ||,2024-12-28,1:55,"11,379",105,17,212.1,"70,129",13.27%,$12.75
nyp-GSClrqc,(有字幕)Line Rangers-觀眾投稿EP.490 || 夜櫻四怨－後排電暈強勢登場！ ||,2025-05-30,6:30,"11,374",124,35,518.7,"72,426",13.09%,$17.78
2WR3jbDlHmo,Line Rangers-觀眾投稿EP.290 || 櫻花未來登場！九星變身終於問世(陸軍) || @PaiDaxing,2024-03-01,3:34,"11,237",120,31,338.0,"78,682",11.29%,$16.71
Oa6MtAuJPCw,Line Rangers-觀眾投稿EP.116 || 莓果汽水兔兔，重返地圖砲榮耀？ ||,2023-03-02,3:52,"11,147",98,33,358.2,"72,973",13.22%,$18.08
8EQyNqODH60,Line Rangers-觀眾投稿EP.387 || 後排出雲天花，動畫滿分實戰零？ ||,2024-09-30,4:11,"11,071",99,30,358.3,"68,012",13.46%,$11.16
1gtWfGSHcaw,Line Rangers-觀眾投稿EP.199 || 一人頂三人！輸出、停產、重置集於一身！ ||,2023-07-31,3:45,"10,982",100,44,328.2,"71,912",12.72%,$14.47
gC_grShQg74,LINE Rangers || 2025聖誕活動！裝備分析＋抽裝攻略 ||,2025-12-19,3:23,"10,940",139,52,279.5,"62,944",12.96%,$11.43
3V0wn7XmkfE,Line Rangers隨手拍EP.37 || 電暈732秒?誘惑1212秒?八星裝最大bug出現！ ||,2023-09-19,2:41,"10,922",116,18,292.2,"77,360",10.91%,$12.82
Buf78kfiVo0,Line Rangers-觀眾投稿EP.210 || 鐵騎士熊大－光暗後移，強勢登場! ||,2023-09-01,3:44,"10,872",98,45,347.5,"76,183",11.73%,$15.77
yUKmb0E9v3c,Line Rangers-觀眾投稿EP.237 || 阿努2.0問世？今年壓軸光暗陸軍 ||,2023-11-01,3:19,"10,798",118,47,335.3,"71,367",12.48%,$17.35
-6q5y-tKN_0,Line Rangers 數據分析EP.29 || 2023年度回顧，誰是最強飛寵？ ||,2023-12-24,4:25,"10,741",98,13,373.6,"93,568",9.56%,$15.44
WSg-dg5nYRM,Line Rangers-觀眾投稿EP.331 || 出動電暈的最後一塊拼圖！坦克大獎太一登場 ||,2024-05-31,4:07,"10,733",119,27,361.0,"75,294",11.95%,$13.29
f8C9r3rRGVI,(有字幕)Line Rangers-觀眾投稿EP.481 || 女僕兔兔－無性生殖(?)的擊退技！ ||,2025-05-01,5:35,"10,715",143,33,445.4,"67,708",13.42%,$14.33
_q3Bb7UcIe4,Line Rangers-觀眾投稿EP.403 || KSM再次回歸！能力才是本月重點？ ||,2024-11-01,4:47,"10,658",108,42,428.3,"79,539",11.13%,$22.92
ZAoQUFHpel4,(有字幕)Line Rangers-觀眾投稿EP.457 || 戰士熊大－分身+礙礦總算登場！ ||,2025-03-01,6:09,"10,642",139,42,472.9,"65,039",13.18%,$12.09
QFE6DvRU1cs,Line Rangers-觀眾投稿EP.145 || 皮超厚的鱷魚饅頭人－幾乎與魔術熊相同的血量？但可惜了這技能組… ||,2023-05-02,4:01,"10,642",81,24,320.1,"70,111",12.98%,$18.13
6vEhg5JkzaU,LINE Rangers || 鏈鋸人合作！裝備分析＋抽裝攻略 ||,2025-08-03,2:00,"10,596",102,32,204.0,"87,155",9.57%,$12.73
70hGIuyaqpI,(有字幕)Line Rangers-觀眾投稿EP.531 || 胡蘿蔔熊大－一隻就爆破五人陣！？ ||,2025-09-15,6:42,"10,571",118,23,468.9,"81,798",10.63%,$11.30
5MmamHfUZvM,Line Rangers-觀眾投稿EP.269 || 慘遭百大下架！獵人熊大退流行？ ||,2024-01-20,3:51,"10,513",94,28,358.9,"81,061",11.15%,$18.71
7dTlvHJIUhM,Line Rangers-觀眾投稿EP.101 || 聽說這些木寵很囂張？必中烤肉來燒材了 ||,2023-01-28,2:24,"10,506",104,21,268.9,"66,474",13.95%,$13.94
yfMw1bc5cMg,Line Rangers-觀眾投稿EP.164 || 影山茂夫登場！愛蜜莉亞哭暈在廁所？ ||,2023-05-31,4:28,"10,498",93,30,355.3,"69,947",13.13%,$14.94
0UoIxj7627A,Line Rangers-觀眾投稿EP.222 || 年度最糟合作寵？定位尷尬的傑克 ||,2023-09-26,4:09,"10,467",98,36,313.0,"71,393",12.16%,$13.06
UWl5b-0Ln_8,Line Rangers-觀眾投稿EP.65 || 這是鯊鯊嗎?突破＋毅力感覺有搞頭? ||,2022-11-06,3:36,"10,401",73,24,320.6,"69,766",12.86%,$18.09
lkgf1Uh6qSA,Line Rangers-觀眾投稿EP.277 || 數值怪加一！茂夫與惠惠的合體？ || @Kensu1012,2024-02-01,3:20,"10,315",96,20,298.1,"85,458",10.24%,$14.38
Z2FUf9rLn8s,Line Rangers-觀眾投稿EP.81 || 必中香檳兔兔-新環境新氣象? ||,2022-12-09,3:35,"10,253",82,27,308.1,"64,308",13.73%,$14.50
9AUyet7AJBE,Line Rangers 數據分析EP.22 || 主唱還安在嗎？惠惠取代主唱的可能性？ ||,2023-12-05,2:41,"10,173",104,48,277.0,"75,274",11.60%,$12.30
Nz-mahz48RY,Line Rangers-觀眾投稿EP.90 || 外星裝饅頭人－實力不增顏值反減!? ||,2022-12-30,4:08,"10,130",80,25,349.0,"78,330",11.29%,$13.49
7Aj5sG2_kPI,Line Rangers-觀眾投稿EP.68 || 北極熊艾勒-一度站上神壇的角色？ ||,2022-11-11,3:14,"10,042",88,22,299.3,"60,761",13.83%,$17.30
R9I-Afeu2RE,Line Rangers-觀眾投稿EP.117 || 藍衣啦啦隊兔兔，週年CP值最高的寵！ ||,2023-03-03,3:34,"10,022",97,25,298.1,"71,013",12.24%,$14.94
CD9tIz7oEVo,Line Rangers-觀眾投稿EP.344 || 自行車饅頭人—久違的智慧型打手！ ||,2024-06-29,4:50,"9,943",107,28,370.2,"86,627",9.62%,$14.20
24lAtaN2ZNg,Line Rangers-觀眾投稿EP.115 || 這位壽星太猛了！投手莎莉直接灌滿180等！ ||,2023-03-01,3:08,"9,940",76,20,253.2,"63,905",13.54%,$17.88
8sfWg6Rk9UE,Line Rangers 數據分析EP.58 || 2024年度回顧，誰是最強光暗坦克？ ||,2024-12-25,5:12,"9,889",104,29,408.2,"82,225",10.26%,$11.75
emx9sgbRIb8,Line Rangers 數據分析EP.1 || 樂隊饅頭人vs場記板莎莉-樂隊是否會被取代? ||,2022-09-06,2:15,"9,880",95,21,196.8,"69,070",11.60%,$8.68
2nV9SksxFEk,Line Rangers始祖系列特別篇 || 當年遊戲的初衷，你，達成了嗎？ ||,2023-02-20,1:55,"9,774",154,22,201.4,"70,863",11.73%,$9.15
HMMk3wr3kxg,Line Rangers-觀眾投稿EP.294 || 十週年待遇？最強小獎偶像熊大 ||,2024-03-12,3:29,"9,763",81,15,248.3,"73,213",11.04%,$12.78
nvgMCvPi91A,(有字幕)Line Rangers隨手拍EP.101 || 救生員榮恩－超高門檻的泡泡寵！ ||,2025-07-01,8:26,"9,744",101,29,535.9,"87,530",9.43%,$15.59
EE0m58e7k7A,Line Ranger隨手拍系列 EP.5 || 主困103~108關-小關比Boss關還難的一章? ||,2022-07-02,5:59,"9,646",63,14,379.8,"78,394",10.82%,$12.82
nfhm-9YC0Ug,Line Rangers || 9.5週年各式禮包推薦分析 ||,2023-09-03,1:29,"9,640",93,40,148.4,"72,355",10.76%,$10.66
2M_E_eooj2g,LINE Rangers || 10週年限定裝備－裝備分析+抽裝攻略 ||,2024-03-06,1:45,"9,630",93,32,161.6,"69,345",11.39%,$10.15
Wy05hlNW2Ds,Line Rangers-觀眾投稿EP.70 || 注意看!這個男人太狠了，他居然用P寵打主困144關？ ||,2022-11-19,1:39,"9,567",142,36,180.3,"56,468",14.18%,$12.37
rBqFCzFNVzs,Line Rangers始祖系列EP.37 || 老玩家的回憶！淺談無盡模式 ||,2023-02-28,2:40,"9,560",137,24,272.4,"72,239",11.32%,$10.94
vXupx2Eoowc,Line Rangers-觀眾投稿EP.63 || 平民寵不平民？實測一下從某箱子出來的熊大 ||,2022-11-01,2:50,"9,414",66,19,229.5,"57,842",14.35%,$14.20
TQSbIc4jNRI,Line Rangers 數據分析EP.44 || 搖滾寶座遭威脅？兩大打手分析！ ||,2024-09-04,3:00,"9,398",164,37,286.1,"73,424",10.22%,$9.42
FNiTnyM2FMc,Line Rangers-觀眾投稿EP.173 || 平民與課長的對決 - 善用道具！翻轉劣勢！ ||,2023-06-21,2:12,"9,340",81,9,202.2,"70,737",11.45%,$13.13
4pir6MJV_Oo,Line Ranger觀眾求救系列 EP.21 || 最難主困？再次用平民隊爆破（主困204、213、216） ||,2025-09-04,3:48,"9,322",92,28,280.4,"66,422",11.59%,$11.98
y9UcQUGup-Q,Line Rangers-觀眾投稿EP.304 || 罕見雙輔助寵登場～七星居然能技範擴大？ || @187Y,2024-04-01,6:46,"9,312",133,25,322.7,"62,593",11.89%,$13.82
i1ghrI5odgI,Line Ranger觀眾求救系列 EP.3 || 主困45關-平民速攻寵降臨? ||,2022-05-08,1:46,"9,240",66,19,178.2,"125,823",6.06%,$7.76
VZUiqWZWRaQ,Line Rangers-觀眾投稿EP.143 || 無限之塔129關，平民寵攻略！ ||,2023-04-30,2:08,"9,235",79,9,191.6,"58,585",12.77%,$12.66
RjtrCWV-ynY,Line Rangers隨手拍EP.36 || 最強後排搖滾熊大，專扁後排超威猛！ ||,2023-09-06,4:01,"9,182",79,21,288.5,"70,718",10.86%,$13.62
6A9HawMvz5M,Line Rangers 數據分析EP.42 || 停產突破vs分身突破！誰會是最後贏家？ ||,2024-08-03,3:07,"9,167",115,30,263.4,"63,409",12.15%,$9.06
u62aQ1Fi-FU,Line Rangers隨手拍EP.127 || 黑帝斯－霧煞煞的普攻打手？ ||,2026-01-31,4:50,"9,150",110,38,294.1,"56,729",13.23%,$8.49
aNxngGuYhYg,Line Rangers-觀眾投稿EP.126 || 壽司師傅迪維特－屬性強化加成！ ||,2023-03-26,4:04,"9,126",71,19,293.7,"65,391",12.00%,$13.56
KvYXcN8SrHc,Line Rangers隨手拍EP.25 || 無限之塔90樓－終於平民通關 ||,2023-06-14,4:21,"9,079",69,12,256.8,"57,724",12.87%,$12.23
Eg9kk5QaW10,Line Rangers 數據分析EP.84 || 數值膨脹？每個遊戲的最終走向？ ||,2025-09-18,8:51,"9,074",147,34,424.3,"76,389",10.19%,$8.61
8c0JJgq60O8,Line Rangers隨手拍EP.121 || 死神熊大－來談談這隻...的未來？ ||,2025-11-21,4:13,"9,073",94,21,318.2,"80,303",9.73%,$12.23
NC4Z0CSa_WI,Line Rangers 數據分析EP.32 || 2023年度回顧，誰是最強對空？ ||,2023-12-31,4:47,"8,868",89,19,303.4,"82,510",8.98%,$10.30
scgrVo4DKEM,Line Rangers隨手拍EP.30 || 名義上的大獎－愛哭的火打登場！ ||,2023-08-02,3:42,"8,839",69,26,276.2,"64,041",11.33%,$10.82
MWWHer_c9Es,Line Rangers 數據分析EP.56 || 2024年度回顧，誰是最強飛寵？ ||,2024-12-22,4:04,"8,780",83,16,297.3,"73,522",9.75%,$11.41
ayLxVZIS8UY,Line Rangers隨手拍EP.64 || 官方大出包！會影響PvP生態的技能 ||,2024-04-28,2:55,"8,750",116,32,243.8,"46,546",14.02%,$12.86
YMiSEUNYfVY,Line Rangers 數據分析EP.83 || 2025-8月傳奇PvP角色使用率！ ||,2025-08-24,3:57,"8,700",97,15,282.4,"84,190",8.53%,$8.20
X4elK_e93Wg,Line Rangers 數據分析EP.54 || 2024年度回顧，誰是最強光暗打？ ||,2024-12-15,5:00,"8,651",96,24,352.0,"71,367",10.04%,$9.53
ZSTWqIRptLw,Line Ranger隨手拍系列 EP.12 || 我居然直接把曲棍球饅頭人殺上九星！ ||,2023-03-08,4:32,"8,582",76,22,308.8,"63,228",11.77%,$11.75
v_HNihZAlJ8,Line Ranger觀眾求救系列 EP.5 || 主困47關-對不起我平民不了了QQ ||,2022-05-10,2:15,"8,580",60,15,201.3,"91,340",7.84%,$7.59
ddqy_dg8-gQ,Line Rangers隨手拍EP.24 || 主困42~48關攻略，但... ||,2023-06-13,11:13,"8,567",78,18,351.4,"53,382",13.17%,$13.89
E04i9FYyigw,Line Rangers-觀眾投稿EP.394 || 180等警長饅頭人！無限卡位的巔峰 || @94Littledevil,2024-10-10,2:15,"8,524",76,18,190.9,"59,293",12.11%,$8.03
n_D8tAAnL7g,Line Rangers 數據分析EP.52 || 2024年度回顧，誰是最強水打？ ||,2024-12-09,4:35,"8,514",90,25,343.3,"72,488",9.70%,$10.46
UklgYmbCgUI,Line Rangers P寵大全 EP.1 || 潛艇愛德華－當之無愧的萬用P寵 ||,2023-10-24,4:12,"8,486",71,18,228.7,"57,097",10.53%,$9.63
OAppirKrPAg,(有字幕)Line Rangers隨手拍EP.110 || 高中生兔兔－我最推薦的平民坦克？ ||,2025-09-25,6:24,"8,485",77,24,332.8,"76,794",8.89%,$9.93
seWVnaUdfLo,Line Rangers-觀眾投稿EP.77 || 里維後排火打手-但仍然拿「她」沒輒!? ||,2022-12-03,3:28,"8,478",59,21,240.4,"55,043",13.41%,$11.18
5gZfLCQ5W4A,Line Rangers-觀眾投稿EP.299 || 唯一可以電暈副本王的角色...？ ||,2024-03-24,2:06,"8,476",103,21,169.5,"57,084",12.18%,$16.75
56cZTSWChuA,Line Rangers 數據分析EP.59 || 2024-12月傳奇PvP角色使用率！ ||,2024-12-29,1:58,"8,434",104,28,182.3,"59,769",11.47%,$6.76
